"zip_code","kecamatan"
"14430","PADEMANGAN"
"14420","PADEMANGAN"
"14410","PADEMANGAN"
"11330","TAMBORA"
"11270","TAMBORA"
"11270","TAMBORA"
"11320","TAMBORA"
"11250","TAMBORA"
"11310","TAMBORA"
"11260","TAMBORA"
"11240","TAMBORA"
"11230","TAMBORA"
"11220","TAMBORA"
"11210","TAMBORA"
"13530","KRAMAT JATI"
"13520","KRAMAT JATI"
"13630","KRAMAT JATI"
"13640","KRAMAT JATI"
"13550","KRAMAT JATI"
"13540","KRAMAT JATI"
"13510","KRAMAT JATI"
"13310","JATINEGARA"
"13330","JATINEGARA"
"13410","JATINEGARA"
"13410","JATINEGARA"
"13340","JATINEGARA"
"13420","JATINEGARA"
"13320","JATINEGARA"
"13350","JATINEGARA"
"13890","CIPAYUNG"
"13820","CIPAYUNG"
"13870","CIPAYUNG"
"13840","CIPAYUNG"
"13810","CIPAYUNG"
"13850","CIPAYUNG"
"13860","CIPAYUNG"
"13880","CIPAYUNG"
"12730","MAMPANG PRAPATAN"
"12710","MAMPANG PRAPATAN"
"12790","MAMPANG PRAPATAN"
"12720","MAMPANG PRAPATAN"
"12790","MAMPANG PRAPATAN"
"13780","PASAR REBO"
"13770","PASAR REBO"
"13760","PASAR REBO"
"13790","PASAR REBO"
"13710","PASAR REBO"
"10210","TANAH ABANG"
"10270","TANAH ABANG"
"10250","TANAH ABANG"
"10220","TANAH ABANG"
"10240","TANAH ABANG"
"10230","TANAH ABANG"
"10260","TANAH ABANG"
"12330","PESANGGRAHAN"
"12320","PESANGGRAHAN"
"12270","PESANGGRAHAN"
"12260","PESANGGRAHAN"
"12250","PESANGGRAHAN"
"12840","TEBET"
"12830","TEBET"
"12860","TEBET"
"12850","TEBET"
"12870","TEBET"
"12810","TEBET"
"12820","TEBET"
"10460","SENEN"
"10430","SENEN"
"10450","SENEN"
"10420","SENEN"
"10440","SENEN"
"10410","SENEN"
"13910","CAKUNG"
"13910","CAKUNG"
"13930","CAKUNG"
"13940","CAKUNG"
"13950","CAKUNG"
"13920","CAKUNG"
"13960","CAKUNG"
"10640","KEMAYORAN"
"10610","KEMAYORAN"
"10640","KEMAYORAN"
"10630","KEMAYORAN"
"10620","KEMAYORAN"
"10650","KEMAYORAN"
"10640","KEMAYORAN"
"10650","KEMAYORAN"
"10520","CEMPAKA PUTIH"
"10510","CEMPAKA PUTIH"
"10570","CEMPAKA PUTIH"
"11730","CENGKARENG"
"11730","CENGKARENG"
"11750","CENGKARENG"
"11720","CENGKARENG"
"11710","CENGKARENG"
"11740","CENGKARENG"
"13720","CIRACAS"
"13740","CIRACAS"
"13730","CIRACAS"
"13830","CIRACAS"
"13750","CIRACAS"
"10150","GAMBIR"
"10140","GAMBIR"
"10110","GAMBIR"
"10120","GAMBIR"
"10160","GAMBIR"
"10130","GAMBIR"
"12630","JAGAKARSA"
"12630","JAGAKARSA"
"12620","JAGAKARSA"
"12630","JAGAKARSA"
"12640","JAGAKARSA"
"12530","JAGAKARSA"
"10330","MENTENG"
"10350","MENTENG"
"10340","MENTENG"
"10310","MENTENG"
"10320","MENTENG"
"12770","PANCORAN"
"12760","PANCORAN"
"12740","PANCORAN"
"12780","PANCORAN"
"12770","PANCORAN"
"12750","PANCORAN"
"12430","CILANDAK"
"12410","CILANDAK"
"12420","CILANDAK"
"12440","CILANDAK"
"12450","CILANDAK"
"12560","PASAR MINGGU"
"12540","PASAR MINGGU"
"12520","PASAR MINGGU"
"12520","PASAR MINGGU"
"12510","PASAR MINGGU"
"12510","PASAR MINGGU"
"12550","PASAR MINGGU"
"14120","CILINCING"
"14110","CILINCING"
"14150","CILINCING"
"14140","CILINCING"
"14130","CILINCING"
"14130","CILINCING"
"14140","CILINCING"
"12150","KEBAYORAN BARU"
"12140","KEBAYORAN BARU"
"12120","KEBAYORAN BARU"
"12130","KEBAYORAN BARU"
"12160","KEBAYORAN BARU"
"12170","KEBAYORAN BARU"
"12160","KEBAYORAN BARU"
"12180","KEBAYORAN BARU"
"12110","KEBAYORAN BARU"
"12190","KEBAYORAN BARU"
"13620","MAKASAR"
"13610","MAKASAR"
"13650","MAKASAR"
"13570","MAKASAR"
"13560","MAKASAR"
"13240","PULOGADUNG"
"13220","PULOGADUNG"
"13250","PULOGADUNG"
"13210","PULOGADUNG"
"13230","PULOGADUNG"
"13260","PULOGADUNG"
"13220","PULOGADUNG"
"12230","KEBAYORAN LAMA"
"12220","KEBAYORAN LAMA"
"12210","KEBAYORAN LAMA"
"12240","KEBAYORAN LAMA"
"12240","KEBAYORAN LAMA"
"12310","KEBAYORAN LAMA"
"13440","DUREN SAWIT"
"13470","DUREN SAWIT"
"13460","DUREN SAWIT"
"13460","DUREN SAWIT"
"13430","DUREN SAWIT"
"13450","DUREN SAWIT"
"13460","DUREN SAWIT"
"11510","KEBON JERUK"
"11530","KEBON JERUK"
"11520","KEBON JERUK"
"11520","KEBON JERUK"
"11550","KEBON JERUK"
"11560","KEBON JERUK"
"11540","KEBON JERUK"
"10530","JOHAR BARU"
"10560","JOHAR BARU"
"10550","JOHAR BARU"
"10540","JOHAR BARU"
"11120","TAMAN SARI"
"11130","TAMAN SARI"
"11140","TAMAN SARI"
"11180","TAMAN SARI"
"11160","TAMAN SARI"
"11110","TAMAN SARI"
"11150","TAMAN SARI"
"11170","TAMAN SARI"
"11450","GROGOL PETAMBURAN"
"11460","GROGOL PETAMBURAN"
"11460","GROGOL PETAMBURAN"
"11470","GROGOL PETAMBURAN"
"11470","GROGOL PETAMBURAN"
"11440","GROGOL PETAMBURAN"
"11460","GROGOL PETAMBURAN"
"12980","SETIABUDI"
"12940","SETIABUDI"
"12930","SETIABUDI"
"12920","SETIABUDI"
"12950","SETIABUDI"
"12960","SETIABUDI"
"12970","SETIABUDI"
"12910","SETIABUDI"
"10720","SAWAH BESAR"
"10740","SAWAH BESAR"
"10750","SAWAH BESAR"
"10730","SAWAH BESAR"
"10710","SAWAH BESAR"
"11430","PALMERAH"
"11480","PALMERAH"
"11420","PALMERAH"
"11420","PALMERAH"
"11480","PALMERAH"
"11410","PALMERAH"
"11640","KEMBANGAN"
"11610","KEMBANGAN"
"11610","KEMBANGAN"
"11650","KEMBANGAN"
"11620","KEMBANGAN"
"11630","KEMBANGAN"
"11840","KALIDERES"
"11810","KALIDERES"
"11830","KALIDERES"
"11850","KALIDERES"
"11820","KALIDERES"
"14470","PENJARINGAN"
"14460","PENJARINGAN"
"14450","PENJARINGAN"
"14440","PENJARINGAN"
"14450","PENJARINGAN"
"13130","MATRAMAN"
"13150","MATRAMAN"
"13140","MATRAMAN"
"13110","MATRAMAN"
"13120","MATRAMAN"
"13120","MATRAMAN"
"14320","TANJUNG PRIOK"
"14340","TANJUNG PRIOK"
"14330","TANJUNG PRIOK"
"14350","TANJUNG PRIOK"
"14360","TANJUNG PRIOK"
"14310","TANJUNG PRIOK"
"14370","TANJUNG PRIOK"
"14240","KELAPA GADING"
"14240","KELAPA GADING"
"14250","KELAPA GADING"
"14210","KOJA"
"14270","KOJA"
"14230","KOJA"
"14230","KOJA"
"14260","KOJA"
"14260","KOJA"
"14540","KEPULAUAN SERIBU UTARA"
"14540","KEPULAUAN SERIBU UTARA"
"14530","KEPULAUAN SERIBU UTARA"
"14520","KEPULAUAN SERIBU SELATAN"
"14520","KEPULAUAN SERIBU SELATAN"
